k,zip_code,county,market_tier,region_bucket,urban_core_flag,actual_price,predicted_price,error_pct,confidence_score,status
3,75119,ellis,mid,dfw,0,261008.0,263145.64,0.82,0.74,OK
3,75124,henderson,mid,dfw,0,294462.0,255057.84,13.38,0.81,OK
3,75125,ellis,mid,dfw,0,286368.0,274880.27,4.01,0.79,OK
3,75126,kaufman,mid,dfw,0,312020.0,315773.64,1.2,0.84,OK
3,75134,dallas,mid,dfw,0,260247.0,323504.49,24.31,0.83,OK
3,75135,hunt,mid,dfw,0,312547.0,250911.11,19.72,0.86,OK
3,75137,dallas,mid,dfw,0,279568.0,316332.51,13.15,0.85,OK
3,75140,van zandt,mid,dfw,0,230244.0,231632.15,0.6,0.85,OK
3,75141,dallas,mid,dfw,0,243566.0,252642.46,3.73,0.86,OK
3,75142,kaufman,mid,dfw,0,293771.0,300612.32,2.33,0.83,OK
3,75143,henderson,mid,dfw,0,269093.0,260603.17,3.15,0.78,OK
3,75144,navarro,mid,dfw,0,214764.0,257458.9,19.88,0.84,OK
3,75146,dallas,mid,dfw,0,278192.0,336713.37,21.04,0.87,OK
3,75147,kaufman,mid,dfw,0,270869.0,303688.58,12.12,0.87,OK
3,75148,henderson,mid,dfw,0,272910.0,315237.79,15.51,0.81,OK
3,75149,dallas,mid,dfw,0,235438.0,257821.12,9.51,0.86,OK
3,75150,dallas,mid,dfw,0,251269.0,240859.79,4.14,0.88,OK
3,75152,ellis,mid,dfw,0,312938.0,269599.11,13.85,0.8,OK
3,75153,navarro,mid,dfw,0,264480.0,293953.38,11.14,0.83,OK
3,75154,ellis,mid,dfw,0,348457.0,341278.54,2.06,0.88,OK
3,75155,ellis,mid,dfw,0,280214.0,313677.21,11.94,0.82,OK
3,75156,kaufman,mid,dfw,0,272741.0,273484.25,0.27,0.76,OK
3,75158,kaufman,mid,dfw,0,344610.0,299515.06,13.09,0.83,OK
3,75159,dallas,mid,dfw,0,278887.0,332211.9,19.12,0.89,OK
3,75160,kaufman,mid,dfw,0,258586.0,240954.89,6.82,0.87,OK
3,75161,kaufman,mid,dfw,0,352922.0,299335.66,15.18,0.83,OK
3,75163,henderson,mid,dfw,0,312013.0,274585.8,12.0,0.81,OK
3,75165,ellis,mid,dfw,0,348342.0,294029.63,15.59,0.84,OK
3,75166,collin,mid,dfw,0,351294.0,347907.88,0.96,0.89,OK
3,75167,ellis,high,dfw,0,497728.0,474072.05,4.75,0.84,OK
3,75169,van zandt,mid,dfw,0,261109.0,323338.95,23.83,0.83,OK
3,75172,dallas,mid,dfw,0,214689.0,235656.82,9.77,0.86,OK
3,75173,collin,mid,dfw,0,341400.0,270559.98,20.75,0.86,OK
3,75180,dallas,mid,dfw,0,217431.0,272267.91,25.22,0.9,OK
3,75181,dallas,mid,dfw,0,318732.0,300607.69,5.69,0.85,OK
3,75182,dallas,high,dfw,0,632981.0,500953.87,20.86,0.86,OK
