zip_code,county,latitude,longitude,avg_property_value,median_income,median_rent,population_change_pct,owner_share_pct,zhvi_1y_change_pct,zhvi_5y_change_pct,price_to_rent_ratio,listing_count,average_sqft,market_tier,region_bucket,urban_core_flag
78940,fayette,29.940125,-96.658827,590348,90431,0,10.3,93.7,0.5,24.49,0,0,0,high,OtherTX,0
78941,fayette,29.727617,-97.15845,437142,75694,0,-2.8,78.7,1.43,32.19,0,0,0,high,OtherTX,0
78942,lee,30.155484,-96.938267,296587,60084,0,1.1,74.7,-0.96,20.19,0,0,0,mid,OtherTX,0
78943,colorado,29.698796,-96.595534,161322,71181,0,-24.3,8.6,-1.59,1.96,0,0,0,low,OtherTX,0
78945,fayette,29.916659,-96.888985,379078,76221,0,-2.4,78.0,-2.06,23.43,0,0,0,mid,OtherTX,0
78946,fayette,30.18837,-96.779058,464364,64345,0,-18.4,89.4,0.29,12.48,0,0,0,high,OtherTX,0
78947,lee,30.443442,-97.063655,405421,81371,0,6.1,79.4,1.81,31.69,0,0,0,high,OtherTX,0
78948,lee,30.321498,-96.976823,455751,34159,0,-13.1,71.7,3.09,0,0,0,0,high,OtherTX,0
78950,austin,29.904948,-96.482617,604714,104643,0,-5.6,93.5,-0.28,18.86,0,0,0,high,OtherTX,0
78953,bastrop,29.844028,-97.358297,536857,88852,0,-16.3,80.3,-4.35,18.42,0,0,0,high,OtherTX,0
78954,fayette,30.043016,-96.699188,1216789,100096,0,8.3,90.5,2.21,59.57,0,0,0,luxury,OtherTX,0
78956,fayette,29.686385,-96.933776,376210,67022,0,8.4,70.8,2.49,21.7,0,0,0,mid,OtherTX,0
78957,bastrop,30.013881,-97.182098,330001,62796,0,4.0,74.3,-3.11,18.76,0,0,0,mid,OtherTX,0
78959,gonzales,29.700745,-97.301328,299493,51029,0,-12.5,74.4,-6.66,0.39,0,0,0,mid,OtherTX,0
78962,colorado,29.674439,-96.7345,344965,74577,0,0.8,81.0,0.37,15.46,0,0,0,mid,OtherTX,0
79005,lipscomb,36.386253,-100.516052,136361,69236,0,-9.0,79.0,0.68,0,0,0,0,low,WestTexas,0
79007,hutchinson,35.668323,-101.412247,106618,61701,0,-0.0,77.7,0.06,10.74,0,0,0,low,WestTexas,0
79014,hemphill,35.923984,-100.332663,154015,72743,0,1.8,76.3,2.85,-5.9,0,0,0,low,WestTexas,0
79015,randall,34.947109,-101.900712,291356,81351,1104,2.5,67.1,1.27,31.1,21.99,0,0,mid,WestTexas,0
